VehicleID,VehicleCategory,Make,VehiclePrice
78,Sport,Saab,more than 69000
79,Sport,Saturn,less than 20000
80,Sport,Saturn,20000 to 29000
81,Sport,Saturn,30000 to 39000
82,Sport,Saturn,40000 to 59000
83,Sport,Saturn,60000 to 69000
84,Sport,Saturn,more than 69000
85,Sport,Porche,less than 20000
86,Sport,Porche,20000 to 29000
87,Sport,Porche,30000 to 39000
88,Sport,Porche,40000 to 59000
89,Sport,Porche,60000 to 69000
90,Sport,Porche,more than 69000
91,Sport,BMW,less than 20000
92,Sport,BMW,20000 to 29000
93,Sport,BMW,30000 to 39000
94,Sport,BMW,40000 to 59000
95,Sport,BMW,60000 to 69000
96,Sport,BMW,more than 69000
97,Sport,Mecedes,less than 20000
98,Sport,Mecedes,20000 to 29000
99,Sport,Mecedes,30000 to 39000
100,Sport,Mecedes,40000 to 59000
101,Sport,Mecedes,60000 to 69000
102,Sport,Mecedes,more than 69000
103,Sport,Ferrari,less than 20000
104,Sport,Ferrari,20000 to 29000
105,Sport,Ferrari,30000 to 39000
106,Sport,Ferrari,40000 to 59000
107,Sport,Ferrari,60000 to 69000
108,Sport,Ferrari,more than 69000
109,Sport,Lexus,less than 20000
110,Sport,Lexus,20000 to 29000
111,Sport,Lexus,30000 to 39000
112,Sport,Lexus,40000 to 59000
113,Sport,Lexus,60000 to 69000
114,Sport,Lexus,more than 69000
115,Utility,Honda,less than 20000
116,Utility,Honda,20000 to 29000
117,Utility,Honda,30000 to 39000
118,Utility,Honda,40000 to 59000
119,Utility,Honda,60000 to 69000
120,Utility,Honda,more than 69000
121,Utility,Toyota,less than 20000
122,Utility,Toyota,20000 to 29000
123,Utility,Toyota,30000 to 39000
124,Utility,Toyota,40000 to 59000
125,Utility,Toyota,60000 to 69000
126,Utility,Toyota,more than 69000
127,Utility,Ford,less than 20000
128,Utility,Ford,20000 to 29000
129,Utility,Ford,30000 to 39000
130,Utility,Ford,40000 to 59000
131,Utility,Ford,60000 to 69000
132,Utility,Ford,more than 69000
133,Utility,Mazda,less than 20000
134,Utility,Mazda,20000 to 29000
135,Utility,Mazda,30000 to 39000
136,Utility,Mazda,40000 to 59000
137,Utility,Mazda,60000 to 69000
138,Utility,Mazda,more than 69000
139,Utility,Chevrolet,less than 20000
140,Utility,Chevrolet,20000 to 29000
141,Utility,Chevrolet,30000 to 39000
142,Utility,Chevrolet,40000 to 59000
143,Utility,Chevrolet,60000 to 69000
144,Utility,Chevrolet,more than 69000
145,Utility,Pontiac,less than 20000
146,Utility,Pontiac,20000 to 29000
147,Utility,Pontiac,30000 to 39000
148,Utility,Pontiac,40000 to 59000
149,Utility,Pontiac,60000 to 69000
150,Utility,Pontiac,more than 69000
151,Utility,Accura,less than 20000
152,Utility,Accura,20000 to 29000
153,Utility,Accura,30000 to 39000
154,Utility,Accura,40000 to 59000
155,Utility,Accura,60000 to 69000
156,Utility,Accura,more than 69000
157,Utility,Dodge,less than 20000
158,Utility,Dodge,20000 to 29000
159,Utility,Dodge,30000 to 39000
160,Utility,Dodge,40000 to 59000
161,Utility,Dodge,60000 to 69000
162,Utility,Dodge,more than 69000
163,Utility,Mercury,less than 20000
164,Utility,Mercury,20000 to 29000
165,Utility,Mercury,30000 to 39000
166,Utility,Mercury,40000 to 59000
167,Utility,Mercury,60000 to 69000
168,Utility,Mercury,more than 69000
169,Utility,Jaguar,less than 20000
170,Utility,Jaguar,20000 to 29000
171,Utility,Jaguar,30000 to 39000
172,Utility,Jaguar,40000 to 59000
173,Utility,Jaguar,60000 to 69000
174,Utility,Jaguar,more than 69000
175,Utility,Nisson,less than 20000
176,Utility,Nisson,20000 to 29000
177,Utility,Nisson,30000 to 39000
178,Utility,Nisson,40000 to 59000
179,Utility,Nisson,60000 to 69000
180,Utility,Nisson,more than 69000
181,Utility,VW,less than 20000
182,Utility,VW,20000 to 29000
183,Utility,VW,30000 to 39000
184,Utility,VW,40000 to 59000
185,Utility,VW,60000 to 69000
186,Utility,VW,more than 69000
187,Utility,Saab,less than 20000
188,Utility,Saab,20000 to 29000
189,Utility,Saab,30000 to 39000
190,Utility,Saab,40000 to 59000
191,Utility,Saab,60000 to 69000
192,Utility,Saab,more than 69000
193,Utility,Saturn,less than 20000
194,Utility,Saturn,20000 to 29000
195,Utility,Saturn,30000 to 39000
196,Utility,Saturn,40000 to 59000
197,Utility,Saturn,60000 to 69000
198,Utility,Saturn,more than 69000
199,Utility,Porche,less than 20000
200,Utility,Porche,20000 to 29000
201,Utility,Porche,30000 to 39000
202,Utility,Porche,40000 to 59000
203,Utility,Porche,60000 to 69000
204,Utility,Porche,more than 69000
205,Utility,BMW,less than 20000
206,Utility,BMW,20000 to 29000
207,Utility,BMW,30000 to 39000
208,Utility,BMW,40000 to 59000
209,Utility,BMW,60000 to 69000
210,Utility,BMW,more than 69000
211,Utility,Mecedes,less than 20000
212,Utility,Mecedes,20000 to 29000
213,Utility,Mecedes,30000 to 39000
214,Utility,Mecedes,40000 to 59000
215,Utility,Mecedes,60000 to 69000
216,Utility,Mecedes,more than 69000
217,Utility,Ferrari,less than 20000
218,Utility,Ferrari,20000 to 29000
219,Utility,Ferrari,30000 to 39000
220,Utility,Ferrari,40000 to 59000
221,Utility,Ferrari,60000 to 69000
222,Utility,Ferrari,more than 69000
223,Utility,Lexus,less than 20000
224,Utility,Lexus,20000 to 29000
225,Utility,Lexus,30000 to 39000
226,Utility,Lexus,40000 to 59000
227,Utility,Lexus,60000 to 69000
228,Utility,Lexus,more than 69000
229,Sedan,Honda,less than 20000
230,Sedan,Honda,20000 to 29000
231,Sedan,Honda,30000 to 39000
232,Sedan,Honda,40000 to 59000
233,Sedan,Honda,60000 to 69000
234,Sedan,Honda,more than 69000
235,Sedan,Toyota,less than 20000
236,Sedan,Toyota,20000 to 29000
237,Sedan,Toyota,30000 to 39000
238,Sedan,Toyota,40000 to 59000
239,Sedan,Toyota,60000 to 69000
240,Sedan,Toyota,more than 69000
241,Sedan,Ford,less than 20000
242,Sedan,Ford,20000 to 29000
243,Sedan,Ford,30000 to 39000
244,Sedan,Ford,40000 to 59000
245,Sedan,Ford,60000 to 69000
246,Sedan,Ford,more than 69000
247,Sedan,Mazda,less than 20000
248,Sedan,Mazda,20000 to 29000
249,Sedan,Mazda,30000 to 39000
250,Sedan,Mazda,40000 to 59000
251,Sedan,Mazda,60000 to 69000
252,Sedan,Mazda,more than 69000
253,Sedan,Chevrolet,less than 20000
254,Sedan,Chevrolet,20000 to 29000
255,Sedan,Chevrolet,30000 to 39000
256,Sedan,Chevrolet,40000 to 59000
257,Sedan,Chevrolet,60000 to 69000
258,Sedan,Chevrolet,more than 69000
259,Sedan,Pontiac,less than 20000
260,Sedan,Pontiac,20000 to 29000
261,Sedan,Pontiac,30000 to 39000
262,Sedan,Pontiac,40000 to 59000
263,Sedan,Pontiac,60000 to 69000
264,Sedan,Pontiac,more than 69000
265,Sedan,Accura,less than 20000
266,Sedan,Accura,20000 to 29000
267,Sedan,Accura,30000 to 39000
268,Sedan,Accura,40000 to 59000
269,Sedan,Accura,60000 to 69000
270,Sedan,Accura,more than 69000
271,Sedan,Dodge,less than 20000
272,Sedan,Dodge,20000 to 29000
273,Sedan,Dodge,30000 to 39000
274,Sedan,Dodge,40000 to 59000
275,Sedan,Dodge,60000 to 69000
276,Sedan,Dodge,more than 69000
277,Sedan,Mercury,less than 20000
278,Sedan,Mercury,20000 to 29000
279,Sedan,Mercury,30000 to 39000
280,Sedan,Mercury,40000 to 59000
281,Sedan,Mercury,60000 to 69000
282,Sedan,Mercury,more than 69000
283,Sedan,Jaguar,less than 20000
284,Sedan,Jaguar,20000 to 29000
285,Sedan,Jaguar,30000 to 39000
286,Sedan,Jaguar,40000 to 59000
287,Sedan,Jaguar,60000 to 69000
288,Sedan,Jaguar,more than 69000
289,Sedan,Nisson,less than 20000
290,Sedan,Nisson,20000 to 29000
291,Sedan,Nisson,30000 to 39000
292,Sedan,Nisson,40000 to 59000
293,Sedan,Nisson,60000 to 69000
294,Sedan,Nisson,more than 69000
295,Sedan,VW,less than 20000
296,Sedan,VW,20000 to 29000
297,Sedan,VW,30000 to 39000
298,Sedan,VW,40000 to 59000
299,Sedan,VW,60000 to 69000
300,Sedan,VW,more than 69000
301,Sedan,Saab,less than 20000
302,Sedan,Saab,20000 to 29000
303,Sedan,Saab,30000 to 39000
304,Sedan,Saab,40000 to 59000
305,Sedan,Saab,60000 to 69000
306,Sedan,Saab,more than 69000
307,Sedan,Saturn,less than 20000
308,Sedan,Saturn,20000 to 29000
309,Sedan,Saturn,30000 to 39000
310,Sedan,Saturn,40000 to 59000
311,Sedan,Saturn,60000 to 69000
312,Sedan,Saturn,more than 69000
313,Sedan,Porche,less than 20000
314,Sedan,Porche,20000 to 29000
315,Sedan,Porche,30000 to 39000
316,Sedan,Porche,40000 to 59000
317,Sedan,Porche,60000 to 69000
318,Sedan,Porche,more than 69000
319,Sedan,BMW,less than 20000
320,Sedan,BMW,20000 to 29000
321,Sedan,BMW,30000 to 39000
322,Sedan,BMW,40000 to 59000
323,Sedan,BMW,60000 to 69000
324,Sedan,BMW,more than 69000
325,Sedan,Mecedes,less than 20000
326,Sedan,Mecedes,20000 to 29000
327,Sedan,Mecedes,30000 to 39000
328,Sedan,Mecedes,40000 to 59000
329,Sedan,Mecedes,60000 to 69000
330,Sedan,Mecedes,more than 69000
331,Sedan,Ferrari,less than 20000
332,Sedan,Ferrari,20000 to 29000
333,Sedan,Ferrari,30000 to 39000
334,Sedan,Ferrari,40000 to 59000
335,Sedan,Ferrari,60000 to 69000
336,Sedan,Ferrari,more than 69000
337,Sedan,Lexus,less than 20000
338,Sedan,Lexus,20000 to 29000
339,Sedan,Lexus,30000 to 39000
340,Sedan,Lexus,40000 to 59000
341,Sedan,Lexus,60000 to 69000
342,Sedan,Lexus,more than 69000
