PolicyNumber,CustomerID,PolicyTypeID,AgentID,VehicleID,Deductible
203,736,101,14-E,234,400
204,7394,41,6-E,3,400
205,6503,81,16-E,259,500
206,241,103,15-E,260,400
207,9893,106,11-E,264,400
208,10736,111,5-E,252,400
209,1565,101,5-E,236,400
210,8553,81,16-E,259,400
211,3015,117,3-E,260,400
212,11319,91,1-E,229,400
213,3914,106,11-E,266,400
214,3536,86,16-E,260,400
215,2121,111,7-E,249,400
216,2834,116,12-E,254,400
217,7337,101,9-E,236,400
218,7017,46,3-E,20,700
219,6213,106,11-E,230,400
220,4040,91,1-E,258,400
221,9751,51,15-E,8,400
222,1388,41,2-E,31,400
223,8458,101,13-E,236,400
224,5859,56,9-E,2,400
225,2450,81,4-E,236,400
226,1502,41,2-E,36,400
227,350,105,5-E,303,400
228,3413,111,14-E,300,400
229,3280,111,1-E,260,400
230,10720,51,14-E,36,400
231,4821,101,13-E,260,400
232,4743,82,10-E,248,400
233,6834,101,12-E,254,400
234,3042,106,5-E,300,400
235,5362,81,16-E,277,400
236,6205,91,16-E,254,400
237,2230,116,3-E,260,400
238,1096,51,11-E,32,400
239,780,91,7-E,260,400
240,4731,56,5-E,21,400
241,2541,46,16-E,26,400
242,10383,46,1-E,20,400
243,9976,46,12-E,20,400
244,8890,101,7-E,234,400
245,8725,111,9-E,259,400
246,7274,101,3-E,234,400
247,8840,93,14-E,241,400
248,5397,41,11-E,39,400
249,6998,101,16-E,236,700
250,2562,101,1-E,266,400
251,7728,21,12-E,6,400
252,8116,81,10-E,260,400
253,397,102,3-E,260,400
254,3047,41,15-E,33,400
255,2605,36,12-E,24,400
256,4516,56,9-E,32,500
257,2517,116,5-E,300,400
258,3740,101,12-E,236,400
259,10252,116,16-E,248,400
260,5658,56,10-E,33,400
261,8614,101,9-E,260,400
262,7532,81,1-E,266,400
263,8198,106,3-E,261,400
264,1949,106,7-E,236,400
265,9583,41,16-E,32,400
266,1288,101,5-E,300,400
267,561,41,4-E,32,400
268,5346,91,3-E,258,400
269,2245,81,5-E,234,400
270,2406,51,9-E,2,400
271,7589,51,2-E,26,400
272,9340,116,6-E,260,400
273,8277,106,7-E,236,400
274,10234,117,11-E,254,400
275,11849,41,9-E,3,400
276,8342,31,11-E,6,400
277,3483,81,10-E,235,400
278,2881,41,16-E,6,400
279,7904,91,1-E,260,400
280,9641,41,12-E,6,400
281,11975,81,11-E,234,400
282,9308,46,4-E,32,400
283,2239,81,10-E,234,400
284,6043,46,4-E,32,400
285,3430,96,7-E,235,400
286,7750,86,8-E,229,400
287,3303,51,1-E,21,400
288,8407,43,11-E,6,400
289,5864,111,15-E,261,400
290,3365,56,1-E,27,400
291,3558,51,2-E,33,400
292,2560,91,1-E,235,400
293,8390,81,2-E,230,400
294,6363,41,5-E,17,400
295,4197,42,11-E,6,400
296,7740,81,10-E,259,400
297,3535,41,15-E,2,400
298,1975,116,1-E,262,400
299,5735,101,14-E,231,400
300,10992,91,2-E,254,400
301,3555,101,7-E,260,400
302,4333,101,2-E,230,400
303,7644,106,9-E,261,400
304,6144,86,1-E,264,400
305,2974,91,7-E,236,400
306,1575,91,9-E,300,400
307,10898,41,2-E,2,500
308,9096,51,5-E,32,400
309,1685,81,7-E,259,400
310,9811,81,6-E,234,400
311,9520,41,10-E,2,400
312,872,111,11-E,260,400
313,7426,56,13-E,50,400
314,2068,111,15-E,231,400
315,777,41,4-E,32,400
316,3398,62,14-E,120,400
317,2262,76,12-E,156,400
318,3920,101,16-E,234,400
319,10089,101,14-E,260,400
320,4047,41,2-E,20,400
321,3464,116,2-E,246,400
322,9547,96,4-E,308,400
323,11969,111,15-E,254,400
324,572,81,8-E,230,400
325,4744,81,1-E,230,400
326,7845,56,1-E,21,400
327,2808,111,7-E,231,400
328,6690,116,13-E,231,400
329,413,108,12-E,237,400
330,6673,86,3-E,254,400
331,3351,41,5-E,9,400
332,11289,101,1-E,260,400
333,5087,101,8-E,236,400
334,5792,81,11-E,300,400
335,10078,116,9-E,231,400
336,5540,111,14-E,236,400
337,8278,37,9-E,6,400
338,7753,41,11-E,12,400
339,11183,101,12-E,237,400
340,3372,86,6-E,259,400
341,6873,116,3-E,264,400
342,5992,101,4-E,237,700
343,10391,46,4-E,2,400
344,1077,41,13-E,2,400
345,8770,91,5-E,254,400
346,7961,116,4-E,260,400
347,3873,96,10-E,244,400
348,8464,96,5-E,255,400
349,3404,81,6-E,234,400
350,5668,81,1-E,300,400
351,5790,41,6-E,8,400
352,748,86,7-E,230,400
353,11030,41,15-E,32,400
354,9165,106,11-E,236,400
355,9472,96,10-E,254,400
356,10086,81,7-E,261,400
357,8353,56,8-I,26,400
358,2474,87,14-E,235,500
359,4334,101,8-E,300,400
360,2866,116,13-E,230,400
361,5366,101,14-E,248,400
362,7790,111,1-E,261,400
363,3331,101,8-E,236,400
364,7901,66,11-E,150,400
365,3116,56,3-E,12,400
366,10074,61,14-E,144,400
367,5501,81,8-E,260,400
368,4921,106,13-E,230,400
369,1526,91,6-E,229,400
370,5656,118,8-E,230,400
371,10736,41,14-E,21,400
372,6550,116,12-E,236,400
373,4757,106,12-E,255,700
374,2370,51,14-E,20,400
375,5834,96,10-E,234,400
376,10891,81,3-E,230,400
377,6244,96,12-E,248,400
378,9235,46,12-E,8,400
379,1295,42,8-E,28,400
380,3307,56,3-E,3,400
381,10108,111,6-E,244,400
382,5204,41,4-E,2,400
383,739,106,10-E,254,400
384,11424,81,11-E,299,400
385,3688,91,7-E,229,400
386,9354,81,7-E,234,400
387,11094,81,12-E,299,400
388,6651,116,10-E,240,400
389,4607,41,15-E,6,400
390,11068,46,10-E,33,400
391,8706,51,8-E,29,400
392,8555,46,11-I,14,400
393,10149,101,15-E,254,400
394,10524,81,6-E,254,400
395,11136,106,8-E,248,400
396,474,101,10-E,230,400
397,8644,56,7-E,32,400
398,3630,41,5-E,8,400
399,6994,96,5-E,230,400
400,9473,42,5-E,20,400
401,3967,101,12-E,232,400
402,10432,41,15-E,33,400
403,8785,81,8-E,300,400
404,3090,86,1-E,230,700
405,11044,111,12-E,249,400
406,5544,91,7-E,270,400
407,9791,46,4-E,30,400
408,5031,101,15-E,260,400
409,6657,101,10-E,261,500
410,7861,41,12-E,32,400
411,2530,58,9-E,32,400
412,6124,66,14-E,138,400
413,4398,81,3-E,259,400
414,870,111,7-E,236,400
415,11307,86,11-E,248,400
416,316,111,6-E,260,400
417,4844,21,2-E,6,400
418,5455,101,13-E,244,400
419,9925,111,6-E,236,400
420,2807,41,2-E,32,400
421,10490,102,2-E,254,400
422,1284,121,3-E,144,400
423,2066,81,15-E,260,400
424,10181,101,2-E,236,400
425,10794,81,3-E,231,400
426,1801,116,9-E,243,400
427,8768,116,13-E,235,400
428,5734,51,7-E,2,400
429,3058,90,11-E,235,400
430,3494,51,11-E,32,400
431,4533,111,5-E,254,400
432,11724,106,7-E,282,400
433,6063,56,7-E,9,400
434,11409,101,2-E,236,400
435,369,41,4-E,6,400
436,9728,81,1-E,261,400
437,3911,91,6-E,261,400
438,5879,86,9-E,255,400
439,3621,46,1-E,2,400
440,10450,101,16-E,230,400
441,7158,116,14-E,260,400
442,10744,102,10-E,234,400
443,650,116,2-E,254,400
444,2401,81,15-E,247,400
445,9983,46,15-E,8,400
446,1866,116,16-E,261,400
447,10980,41,4-E,2,400
448,160,51,8-E,8,400
449,2686,81,13-E,236,400
450,11003,81,4-E,229,400
451,1089,51,8-E,32,400
452,10316,93,13-E,248,400
453,3170,56,3-E,21,400
454,6570,46,3-E,28,400
455,4811,81,6-E,261,400
456,7150,101,9-E,230,400
457,5910,81,8-E,260,400
458,359,101,8-E,236,400
459,2950,116,3-E,236,400
460,6567,111,15-E,248,500
461,11214,96,15-E,230,400
462,9761,116,12-E,236,400
463,1979,42,13-E,40,400
464,878,56,1-E,70,400
465,5290,101,11-E,236,400
466,2552,81,11-E,230,400
467,6779,51,11-E,20,400
468,795,101,12-E,230,400
469,6473,86,1-E,270,400
470,8884,86,6-E,241,400
471,6225,46,5-E,20,400
472,7064,56,11-E,32,400
473,9419,76,11-E,144,400
474,7549,91,13-E,236,400
475,5616,41,13-E,21,400
476,11226,101,5-E,244,400
477,10989,101,5-E,260,400
478,5203,81,15-E,244,400
479,2204,41,6-E,21,400
480,11170,116,11-E,261,400
481,4853,101,10-E,261,400
482,7702,101,5-E,298,400
483,10121,81,2-E,261,400
484,7554,57,8-E,27,400
485,1857,101,5-E,260,400
486,3328,86,3-E,256,400
487,9306,81,6-E,259,400
488,566,106,1-E,237,400
489,1812,81,16-E,234,400
490,4299,101,5-E,266,400
491,9066,101,5-E,230,400
492,7228,101,5-E,248,400
493,4729,116,2-E,236,400
494,1126,81,7-E,234,400
495,6512,46,13-E,2,400
496,6686,86,4-E,230,400
497,251,41,3-E,20,400
498,8991,101,15-E,249,400
499,11915,101,11-E,259,400
500,8066,101,12-E,248,400
501,8104,116,3-E,260,400
502,4167,106,2-E,254,400
503,3109,21,9-E,6,400
504,894,81,10-E,260,400
505,10481,107,3-E,240,400
506,1621,51,2-E,8,400
507,6547,56,13-E,9,400
508,10814,81,5-E,235,400
509,10555,81,1-E,235,400
510,10988,51,12-I,16,400
511,4907,86,12-E,236,400
512,5504,56,13-E,9,400
513,9174,111,2-E,260,400
514,5534,51,7-E,9,400
515,8719,46,14-E,2,400
516,4434,96,12-E,260,400
517,10877,101,11-E,261,400
518,9648,116,13-E,260,400
519,7379,41,3-E,32,400
520,7336,101,8-E,235,400
521,2649,96,5-E,259,400
522,7518,41,15-E,6,400
523,10313,46,13-E,26,400
524,395,101,14-E,255,400
525,8020,56,3-E,20,400
526,10857,107,11-E,247,400
527,10885,101,10-E,229,400
528,11043,81,13-E,230,400
529,728,111,15-E,250,400
530,9860,41,16-E,16,400
531,11280,56,7-E,33,400
532,185,106,2-E,236,400
533,10658,81,1-E,260,400
534,3171,108,7-E,260,400
535,8938,91,8-E,259,400
536,11033,106,1-E,260,400
537,11830,101,13-E,254,400
538,4719,106,13-E,303,400
539,2118,81,5-E,230,400
540,4657,101,11-E,254,400
541,3577,96,8-E,254,400
542,11493,106,4-E,255,400
543,3022,81,12-E,234,400
544,344,51,10-E,32,400
545,3320,76,9-E,144,400
546,9607,101,6-E,236,400
547,9475,102,5-E,255,400
548,7871,91,7-E,235,400
549,2309,51,8-E,9,400
550,6953,41,6-E,6,400
551,1723,81,7-E,254,400
552,11684,96,16-E,260,400
553,4034,51,13-E,72,400
554,2362,86,7-E,300,400
555,10927,101,3-E,248,400
556,726,81,16-E,267,400
557,11980,81,5-E,260,400
558,2657,21,1-E,6,400
559,5035,91,6-E,235,700
560,9903,116,2-I,297,400
561,4120,86,13-E,247,400
562,4095,106,5-E,259,500
563,3913,81,6-E,260,400
564,2338,116,13-E,237,400
565,10965,101,9-E,236,400
566,5161,116,5-E,260,400
567,9314,81,4-E,260,400
568,3043,97,9-E,235,400
569,3683,86,5-E,260,400
570,354,106,4-E,230,400
571,11362,91,5-E,260,400
572,1636,101,15-E,260,400
573,8050,81,11-E,249,400
574,4582,86,2-E,230,400
575,6046,113,12-E,260,400
576,3508,81,8-E,248,400
577,2510,101,3-E,230,400
578,4048,41,10-E,20,400
579,10721,116,7-E,248,400
580,11119,81,5-E,235,400
581,6766,41,7-E,32,400
582,10348,46,4-E,33,400
583,4532,101,14-E,237,400
584,5824,101,5-E,260,400
585,10498,101,13-E,254,400
586,2147,41,7-E,26,400
587,5717,96,13-E,260,400
588,6960,81,15-E,261,400
589,878,107,2-E,248,400
590,1167,101,9-E,235,700
591,11766,116,14-E,254,400
592,11103,21,10-E,24,400
593,1968,81,12-E,236,400
594,4257,116,5-E,230,400
595,5572,46,5-E,20,400
596,2522,106,5-E,243,400
597,2631,106,10-E,248,400
598,5343,116,12-E,248,400
599,10390,101,16-E,236,400
600,10295,111,2-E,260,400
601,11278,41,3-E,20,400
602,2990,101,12-E,237,400
603,7932,86,13-E,261,400
604,375,41,14-E,30,400
605,4982,81,16-E,266,400
606,6507,86,8-E,248,400
607,4275,81,4-E,259,400
608,1490,56,7-E,2,400
609,10230,86,7-E,260,400
610,3144,102,3-E,261,400
611,11235,41,10-E,33,400
612,163,81,5-E,236,400
613,7707,46,16-E,32,500
614,1013,101,4-E,234,400
615,5577,101,16-E,261,400
616,11715,58,10-E,3,400
617,8883,51,15-E,2,400
618,3663,111,8-E,235,400
619,4195,101,6-E,244,400
620,8280,96,15-E,240,400
621,5552,101,4-E,250,700
622,1474,41,9-E,20,400
623,9071,106,16-E,230,400
624,6944,81,7-E,229,400
625,11835,86,4-E,255,400
626,3736,101,7-E,261,400
627,4427,101,15-E,236,400
628,253,51,4-E,32,400
629,10054,81,13-E,260,400
630,10815,41,2-E,15,400
631,2536,102,2-E,261,400
632,4626,86,10-E,260,400
633,2328,111,11-I,244,400
634,2287,51,3-E,21,400
635,4192,46,9-E,20,400
636,8652,81,9-E,260,400
637,6213,101,5-E,260,400
638,9415,21,5-E,6,400
639,2638,106,11-E,240,400
640,9771,106,3-E,236,400
641,5135,41,4-E,32,400
642,4284,81,11-E,260,400
643,4490,91,14-E,237,400
644,4153,21,9-E,24,400
645,6667,96,15-E,236,400
646,8685,91,2-E,260,400
647,890,116,13-E,249,400
648,6928,56,10-E,7,400
649,2197,116,7-E,260,400
650,2426,41,2-E,27,400
651,5934,81,14-E,260,400
652,8557,87,16-E,231,700
653,616,81,2-E,260,400
654,3961,41,6-E,82,400
655,10626,56,6-E,8,400
656,1811,81,9-E,229,400
657,1815,53,16-E,31,400
658,5942,116,6-E,267,400
659,241,86,5-E,308,400
660,266,81,11-E,261,400
661,4149,41,3-E,6,400
662,8796,106,2-E,259,400
663,6122,111,7-E,230,400
664,430,81,2-E,299,500
665,1769,106,15-E,252,400
666,4868,111,6-E,236,400
667,11069,101,9-E,255,400
668,9287,101,8-E,260,400
669,4451,116,12-E,236,400
670,6424,116,6-E,260,400
671,1554,41,12-E,33,400
672,8404,81,16-E,236,400
673,6182,102,12-E,248,400
674,5429,41,1-E,9,400
675,8982,81,13-E,236,400
676,9773,81,5-E,236,400
677,2122,86,6-E,235,400
678,2194,91,4-E,260,400
679,10471,46,1-E,39,400
680,3840,81,11-E,236,400
681,3293,51,3-E,16,400
682,10669,41,2-E,6,400
683,1125,101,6-E,261,400
684,1725,111,10-E,230,400
685,552,96,13-E,236,400
686,2081,81,3-E,235,400
687,601,66,3-E,150,400
688,9383,116,11-E,252,400
689,11776,101,2-I,236,400
690,1881,91,5-E,282,400
691,1285,41,14-E,14,400
692,83,81,3-E,260,400
693,5738,21,14-E,6,400
694,224,82,15-E,261,400
695,8211,101,16-E,260,400
696,9350,101,11-E,248,400
697,5123,41,16-E,69,400
698,9636,43,16-E,20,400
699,1332,56,16-E,8,400
700,4576,101,15-E,248,400
701,4383,81,8-E,248,400
702,1882,56,2-E,2,400
703,3118,81,13-E,259,400
704,9793,101,4-E,255,400
705,150,41,4-E,9,400
706,10522,101,15-E,249,400
707,8868,101,16-E,236,400
708,10262,96,9-E,240,400
709,6259,116,16-E,236,400
710,4070,116,15-E,260,400
711,9290,116,1-E,248,400
712,568,56,16-E,9,400
713,1887,91,13-E,260,400
714,4937,91,14-E,236,400
715,5285,102,14-E,237,500
716,9662,41,7-E,2,400
717,11824,51,2-E,2,400
718,11904,81,6-E,303,400
719,5450,41,13-E,8,400
720,9955,41,11-E,9,400
721,975,116,10-E,245,400
722,5892,41,3-E,50,400
723,6890,41,16-E,2,400
724,9826,116,1-E,254,400
725,7717,81,7-E,272,400
726,8241,101,3-E,230,400
727,5987,116,4-E,264,400
728,3665,116,11-E,260,400
729,11495,101,7-E,254,400
730,11847,51,16-E,20,400
731,2071,101,14-E,249,400
732,4885,81,15-E,261,400
733,419,81,5-E,261,400
734,3269,41,12-E,32,400
735,11513,111,5-E,254,400
736,1551,82,14-E,267,400
737,3920,81,14-E,254,400
738,8420,76,3-E,138,400
739,8477,43,9-E,75,400
740,10596,106,5-E,260,400
741,7977,116,12-E,248,400
742,5876,111,9-E,255,400
743,1345,56,9-E,8,400
744,6952,86,5-E,260,400
745,2859,86,3-E,259,700
746,3503,81,16-E,246,400
747,3396,111,15-E,236,400
748,1970,81,1-E,249,400
749,9833,51,11-E,24,400
750,247,91,14-E,235,400
751,995,51,1-E,26,400
752,8707,26,11-E,6,400
753,4718,41,9-E,8,400
754,3813,81,3-E,255,400
755,4130,41,13-E,33,400
756,11629,116,13-E,249,400
757,5575,97,8-E,235,400
758,4989,81,16-E,273,400
759,6296,101,15-E,230,400
760,11923,101,13-E,255,400
761,1880,56,7-E,32,400
762,3327,21,2-E,24,400
763,9276,56,10-E,12,400
764,6802,91,7-E,247,400
765,7490,116,1-E,255,400
766,11264,101,10-E,260,500
767,8221,81,11-E,259,400
768,4122,101,4-E,236,400
769,1574,41,16-E,6,400
770,10822,81,7-E,308,400
771,6546,106,15-E,236,400
772,3074,101,2-E,254,400
773,7612,81,14-E,236,400
774,7609,41,15-E,32,400
775,10633,116,10-E,270,400
776,9485,61,8-E,138,700
777,814,81,12-E,240,400
778,2809,22,11-E,6,400
779,2219,81,8-E,234,400
780,10012,113,10-E,236,400
781,5548,41,5-E,20,400
782,1522,116,11-E,231,400
783,2105,116,8-E,260,400
784,10363,101,14-E,264,400
785,4366,101,15-E,255,400
786,4097,86,8-E,261,400
787,7680,41,9-E,2,400
788,2198,101,13-E,260,400
789,1662,81,3-E,261,400
790,2559,81,11-E,260,400
791,3306,116,1-E,236,400
792,9557,96,2-E,229,400
793,10717,56,1-E,32,400
794,7448,81,13-E,230,400
795,1468,81,1-E,248,400
796,9089,41,12-E,6,400
797,8102,101,6-E,248,400
798,8302,96,7-E,230,400
799,5772,87,6-E,258,400
800,42,116,9-E,261,400
801,3798,46,1-E,8,400
802,9310,86,11-E,229,400
803,10847,81,2-E,230,400
804,8747,56,9-E,2,400
805,2111,101,5-E,248,400
806,5946,86,15-E,259,400
807,291,41,5-E,8,400
808,11775,56,11-E,12,400
809,10683,56,3-E,32,400
810,1266,101,14-E,249,400
811,8405,41,8-E,8,400
812,5659,106,11-E,230,400
813,4796,101,5-E,254,400
814,112,101,3-E,248,400
815,2265,96,8-E,249,400
816,4977,96,11-E,248,400
817,2994,101,5-E,230,400
818,9789,91,3-E,230,400
819,3981,41,15-E,45,400
820,10461,117,10-E,243,400
821,10886,108,5-E,237,400
822,2399,111,10-E,243,400
823,2345,76,12-E,148,400
824,10917,106,6-E,230,400
825,3921,81,5-E,242,400
826,1868,101,16-E,248,400
827,5822,21,2-E,6,400
828,3690,101,14-E,261,400
829,1318,56,16-E,45,400
830,3759,111,13-E,236,400
831,8153,41,6-E,27,400
832,3829,56,14-E,3,400
833,2208,101,10-E,260,400
834,203,101,2-E,261,400
835,9342,116,14-E,236,400
836,2747,86,8-E,259,400
837,5224,101,16-I,236,400
838,5915,21,6-E,6,400
839,10039,56,15-E,27,400
840,3605,106,1-E,243,400
841,3568,42,2-E,32,400
842,6179,81,5-E,260,400
843,8319,81,11-E,260,400
844,2014,101,15-E,303,400
845,9419,81,15-E,234,400
846,4409,101,5-E,236,400
847,9453,101,13-E,243,400
848,9522,101,3-E,248,400
849,218,81,2-E,303,400
850,3173,41,14-E,32,400
851,5090,41,1-E,3,400
852,8905,101,1-E,248,400
853,2325,84,11-E,260,400
854,2011,46,7-E,33,400
855,5482,96,11-E,244,400
856,2002,61,6-E,156,400
857,8874,81,3-E,252,400
858,10143,116,3-E,230,400
859,3200,76,8-E,150,400
860,3128,116,2-E,255,400
861,11618,41,6-E,2,400
862,2329,83,9-E,229,400
863,1654,51,8-E,20,400
864,5240,46,10-E,2,400
865,9445,46,2-E,32,400
866,2335,81,5-E,229,400
867,1009,111,13-E,260,400
868,4950,111,2-E,237,500
869,11417,21,3-E,24,400
870,11979,21,12-E,6,400
871,1605,96,16-E,236,400
872,1039,56,11-E,9,400
873,3068,46,13-E,21,400
874,7784,101,10-E,249,400
875,6887,101,7-I,248,400
876,11189,36,1-E,6,400
877,3019,116,12-E,273,400
878,10274,101,16-E,230,400
879,3284,56,6-E,2,400
880,3314,56,3-E,33,400
881,6484,81,11-E,234,400
882,6872,101,9-E,248,400
883,7136,87,7-E,231,400
884,1353,116,12-E,230,400
885,4097,46,7-E,9,400
886,2297,46,10-E,8,400
887,9931,81,13-E,261,400
888,7340,46,6-E,16,400
889,10187,51,3-E,6,400
890,11924,56,6-E,27,400
891,11964,101,6-E,260,400
892,4102,81,5-E,230,400
893,4322,116,8-E,229,400
894,9305,86,13-E,248,400
895,2431,116,12-E,291,400
896,11763,101,16-E,229,400
897,1668,46,13-E,32,400
898,460,91,2-E,260,400
899,7923,101,6-E,298,400
900,4673,101,5-E,248,400
901,9533,81,7-E,262,400
902,8124,101,16-E,236,400
903,11480,103,11-E,236,400
904,9765,117,2-E,260,400
905,6847,41,3-E,2,400
906,1271,81,13-E,236,400
907,7051,101,11-E,248,400
908,10142,96,7-E,249,400
909,2591,101,12-E,231,400
910,3150,71,11-E,144,400
911,620,96,16-E,236,400
912,4159,41,2-E,20,400
913,9231,116,7-E,254,400
914,11876,51,6-E,30,400
915,90,41,9-E,3,400
916,7137,41,5-E,20,400
917,8632,116,2-E,249,400
918,4063,41,7-E,6,400
919,3631,101,9-E,260,500
920,4469,46,6-E,27,400
921,5394,91,14-E,260,400
922,5871,56,12-E,2,400
923,5856,81,16-E,260,400
924,8307,21,11-E,6,400
925,641,42,7-E,2,400
926,9563,106,14-E,236,400
927,2986,41,4-E,26,400
928,6100,101,8-E,236,400
929,9409,106,7-E,260,400
930,4807,111,14-E,260,400
931,1462,56,12-E,12,700
932,5841,96,5-E,259,400
933,10805,91,16-E,248,400
